token0,token1,fee,liquidity,chainKey
$GMUSIC,FILM,10000,10226061.3021148,GCDXCHLPL
GALA,GUSDC,10000,7404949.810242218,GCDXCHLPL
GALA,GWTRX,10000,4378244.004975498,GCDXCHLPL
$GMUSIC,GALA,10000,1648947.0425915215,GCDXCHLPL
GALA,GOSMI,10000,1485568.3288760984,GCDXCHLPL
GALA,GUSDT,10000,1256302.697962905,GCDXCHLPL
FILM,GALA,10000,540064.0803464274,GCDXCHLPL
GALA,GSHRAP,10000,342286.4297631444,GCDXCHLPL
$GMUSIC,ETIME,10000,338699.19189686916,GCDXCHLPL
GALA,GSOL,10000,251715.9896784341,GCDXCHLPL
GALA,GSWAP,10000,146350.51136146698,GCDXCHLPL
GUSDT,GWETH,10000,110985.49159086063,GCDXCHLPL
GFARTCOIN,Token,10000,100715.8506343393,GCDXCHLPL
GUSDC,GWXRP,10000,97024.33412946902,GCDXCHLPL
GALA,GUSDT,500,77036.18884494793,GCDXCHLPL
GALA,GUSDC,500,62575.67443865103,GCDXCHLPL
GALA,Materium,10000,40249.64195638003,GCDXCHLPL
GALA,GWBTC,10000,35829.01289357251,GCDXCHLPL
GALA,GWETH,10000,34002.212240221335,GCDXCHLPL
GUSDC,GWETH,10000,28108.983784423675,GCDXCHLPL
ETIME,Materium,10000,22176.63212793108,GCDXCHLPL
TestToken1,TestToken3,10000,17579.886105934867,GCDXCHLPL
GALA,SILK,10000,14093.1727064425,GCDXCHLPL
GALA,Token,10000,12243.799061982345,GCDXCHLPL
$GMUSIC,Materium,10000,9848.779164327905,GCDXCHLPL
GUSDC,GWBTC,3000,7327.324594540172,GCDXCHLPL
GUSDT,GWBTC,3000,7239.694282542382,GCDXCHLPL
ETIME,GALA,10000,6913.444122448513,GCDXCHLPL
GALA,GWETH,500,6013.123709855884,GCDXCHLPL
TestToken1,TestToken3,3000,5190.306573304034,GCDXCHLPL
ETIME,SILK,500,2329.6089850434983,GCDXCHLPL
GUSDC,GUSDT,10000,2122.2566088180533,GCDXCHLPL
Materium,SILK,10000,1158.530869349693,GCDXCHLPL
ETIME,FILM,10000,787.1592123300168,GCDXCHLPL
GUSDT,GWETH,500,733.425954098585,GCDXCHLPL
FILM,SILK,10000,727.9460017685723,GCDXCHLPL
ETIME,GSWAP,10000,541.9832832869699,GCDXCHLPL
GALA,GTRUMP,10000,499.61960582788015,GCDXCHLPL
$GMUSIC,SILK,10000,404.769613330276,GCDXCHLPL
FILM,GALA,3000,401.1146636482212,GCDXCHLPL
GSOL,GWBTC,10000,328.9604371177325,GCDXCHLPL
ETIME,Token,10000,267.6511598379379,GCDXCHLPL
GALA,SILK,3000,97.44461166071046,GCDXCHLPL
GALA,TestToken1,3000,94.86835803579737,GCDXCHLPL
FILM,Materium,10000,88.43747083645249,GCDXCHLPL
TestToken1,TestToken3,500,87.41228641010828,GCDXCHLPL
GSWAP,GUSDC,10000,85.50686143457412,GCDXCHLPL
GUSDC,GWETH,500,68.44707098090399,GCDXCHLPL
GALA,TestToken3,10000,54.87711079367422,GCDXCHLPL
GALA,TestToken3,3000,19.92742579481802,GCDXCHLPL
GALA,GUSDC,3000,14.96021836527011,GCDXCHLPL
$GMUSIC,GSWAP,10000,12.253674115969451,GCDXCHLPL
GSWAP,SILK,10000,11.76192527780503,GCDXCHLPL
GALA,GSWAP,500,10.22053094197172,GCDXCHLPL
ETIME,GALA,3000,5.721125503647978,GCDXCHLPL
GALA,GWBTC,500,5.370809540145291,GCDXCHLPL
GFARTCOIN,GUSDC,10000,1.7829750418892576,GCDXCHLPL
GALA,GFARTCOIN,10000,1.1619165210496727,GCDXCHLPL
GALA,GTON,10000,0.3537497857448587,GCDXCHLPL
GUSDC,Token,10000,0.2828391769407131,GCDXCHLPL
GSWAP,Materium,10000,0.17033041891356615,GCDXCHLPL
GSWAP,GUSDC,3000,0.11062567082622841,GCDXCHLPL
GSWAP,GUSDC,500,0.1,GCDXCHLPL
FILM,GSWAP,10000,0.044721359549995794,GCDXCHLPL
GUSDC,SILK,10000,0.033594085445162576,GCDXCHLPL
GALA,SILK,500,0.01167898820645115,GCDXCHLPL
GUSDC,GWXRP,3000,0.003995001033296921,GCDXCHLPL
GSOL,GWETH,500,0.000108499564530798,GCDXCHLPL
GALA,TestToken1,10000,3.94844222101e-9,GCDXCHLPL
GUNI,TestToken3,10000,0,GCDXCHLPL
GALA,TestToken1,500,0,GCDXCHLPL
GOSMI,TestToken1,10000,0,GCDXCHLPL
SILK,TestToken1,10000,0,GCDXCHLPL
GFLOKI,TestToken1,10000,0,GCDXCHLPL
GALA,GWETH,3000,0,GCDXCHLPL
ETIME,SILK,10000,0,GCDXCHLPL
$GMUSIC,FILM,3000,0,GCDXCHLPL
$GMUSIC,GALA,3000,0,GCDXCHLPL
GALA,GWBTC,3000,0,GCDXCHLPL
ETIME,GSHRAP,10000,0,GCDXCHLPL
GSOL,GWETH,10000,0,GCDXCHLPL
GALA,Token,500,0,GCDXCHLPL
GUSDT,GWETH,3000,0,GCDXCHLPL
GUSDC,GUSDT,500,0,GCDXCHLPL
ETIME,GALA,500,0,GCDXCHLPL
ETIME,SILK,3000,0,GCDXCHLPL
GUSDC,GWBTC,10000,0,GCDXCHLPL
GAAVE,GUSDC,10000,0,GCDXCHLPL
GUSDT,GWBTC,10000,0,GCDXCHLPL
GWBTC,GWETH,10000,0,GCDXCHLPL
GFARTCOIN,GSHRAP,10000,0,GCDXCHLPL
